ID_BARRIO;DE_BARRIO;ID_ESTACION;DE_ESTACION
32;SAN NICOLÁS;6;9 DE JULIO
7;CABALLITO;42;ACOYTE
28;RECOLETA;9;AGÜERO
3;BALVANERA;37;ALBERTI
1;ALMAGRO;28;ANGEL GALLARDO
19;MONSERRAT;16;AVENIDA DE MAYO
6;BOEDO;60;AVENIDA LA PLATA
19;MONSERRAT;45;BELGRANO
6;BOEDO;61;BOEDO
19;MONSERRAT;44;BOLIVAR
22;PALERMO;54;BULNES
28;RECOLETA;56;CALLAO
32;SAN NICOLÁS;23;CALLAO
12;FLORES;75;CARABOBO
3;BALVANERA;26;CARLOS GARDEL
32;SAN NICOLÁS;21;CARLOS PELLEGRINI
26;PARQUE PATRICIOS;1;CASEROS
1;ALMAGRO;40;CASTRO BARROS
32;SAN NICOLÁS;69;CATEDRAL
3;BALVANERA;35;CONGRESO
5;BELGRANO;71;CONGRESO DE TUCUMAN
11;CONSTITUCIÓN;19;CONSTITUCION
3;BALVANERA;77;CORRIENTES
25;PARQUE CHAS;74;DE LOS INCAS - PARQUE CHAS
32;SAN NICOLÁS;15;DIAGONAL NORTE
8;CHACARITA;30;DORREGO
48;VILLA URQUIZA;80;ECHEVERRIA
24;PARQUE CHACABUCO;53;EMILIO MITRE
31;SAN CRISTÓBAL;48;ENTRE RIOS
28;RECOLETA;7;FACULTAD DE MEDICINA
8;CHACARITA;66;FEDERICO LACROZE
32;SAN NICOLÁS;20;FLORIDA
29;RETIRO;57;GENERAL SAN MARTIN
31;SAN CRISTÓBAL;51;GENERAL URQUIZA
26;PARQUE PATRICIOS;79;HOSPITALES
31;SAN CRISTÓBAL;3;HUMBERTO I
26;PARQUE PATRICIOS;2;INCLAN
11;CONSTITUCIÓN;18;INDEPENDENCIA
11;CONSTITUCIÓN;46;INDEPENDENCIA
5;BELGRANO;64;JOSE HERNANDEZ
7;CABALLITO;52;JOSE MARIA MORENO
48;VILLA URQUIZA;81;JUAN MANUEL DE ROSAS
31;SAN CRISTÓBAL;50;JUJUY
5;BELGRANO;65;JURAMENTO
32;SAN NICOLÁS;14;LAVALLE
32;SAN NICOLÁS;72;LEANDRO N. ALEM
19;MONSERRAT;33;LIMA
1;ALMAGRO;39;LORIA
36;VILLA CRESPO;29;MALABIA-OSVALDO PUGLIESE
12;FLORES;59;MEDALLA MILAGROSA
1;ALMAGRO;27;MEDRANO
22;PALERMO;62;MINISTRO CARRANZA
19;MONSERRAT;17;MORENO
10;COLEGIALES;63;OLLEROS
3;BALVANERA;5;ONCE
22;PALERMO;12;PALERMO
26;PARQUE PATRICIOS;78;PARQUE PATRICIOS
3;BALVANERA;36;PASCO
3;BALVANERA;24;PASTEUR-AMIA
19;MONSERRAT;31;PERU
31;SAN CRISTÓBAL;49;PICHINCHA
19;MONSERRAT;32;PIEDRAS
12;FLORES;67;PLAZA DE LOS VIRREYES
19;MONSERRAT;70;PLAZA DE MAYO
22;PALERMO;11;PLAZA ITALIA
3;BALVANERA;38;PLAZA MISERERE
7;CABALLITO;43;PRIMERA JUNTA
7;CABALLITO;76;PUAN
3;BALVANERA;25;PUEYRREDON
28;RECOLETA;55;PUEYRREDON
29;RETIRO;13;RETIRO
1;ALMAGRO;41;RIO DE JANEIRO
19;MONSERRAT;34;SAENZ PEÑA
11;CONSTITUCIÓN;47;SAN JOSE
12;FLORES;83;SAN JOSE DE FLORES
11;CONSTITUCIÓN;58;SAN JUAN
12;FLORES;82;SAN PEDRITO
22;PALERMO;10;SCALABRINI ORTIZ
32;SAN NICOLÁS;8;TRIBUNALES
42;VILLA ORTÚZAR;73;TRONADOR
32;SAN NICOLÁS;22;URUGUAY
12;FLORES;68;VARELA
3;BALVANERA;4;VENEZUELA
